Season,Club,players_used,avg_age,possession,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
2019-2020,Bournemouth,27,25.2,43.8,418,"3,420",38.0,38,24,34,4,4,78,3,1.00,0.63,1.63,0.89,1.53,42.7,39.7,27.4,67.0,1.12,0.72,1.84,1.04,1.76
2019-2020,Brighton,25,26.4,52.2,418,"3,420",38.0,35,24,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,41.2,39.7,26.5,66.2,1.08,0.70,1.78,1.04,1.74
2019-2020,Burnley,22,28.0,41.4,418,"3,420",38.0,41,30,38,3,3,67,0,1.08,0.79,1.87,1.00,1.79,43.9,41.6,27.2,68.8,1.15,0.72,1.87,1.09,1.81
2019-2020,Chelsea,27,25.5,60.7,418,"3,420",38.0,69,46,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,66.6,61.7,46.2,107.9,1.75,1.22,2.97,1.62,2.84
2019-2020,Crystal Palace,25,29.4,44.5,418,"3,420",38.0,29,20,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,34.0,31.9,23.6,55.5,0.90,0.62,1.52,0.84,1.46
2019-2020,Everton,24,25.5,49.2,418,"3,420",38.0,42,32,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,49.3,48.5,30.9,79.4,1.30,0.81,2.11,1.28,2.09
2019-2020,Leicester City,24,26.1,57.6,418,"3,420",38.0,65,48,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84,61.6,56.2,44.0,100.3,1.62,1.16,2.78,1.48,2.64
2019-2020,Liverpool,24,26.6,63.4,418,"3,420",38.0,83,69,78,5,5,38,1,2.18,1.82,4.00,2.05,3.87,71.5,67.7,51.8,119.5,1.88,1.36,3.25,1.78,3.15
2019-2020,Manchester City,24,26.9,66.9,418,"3,420",38.0,100,69,94,6,11,64,4,2.63,1.82,4.45,2.47,4.29,93.1,84.7,66.2,150.9,2.45,1.74,4.19,2.23,3.97
2019-2020,Manchester Utd,29,24.8,56.2,418,"3,420",38.0,65,43,55,10,14,73,0,1.71,1.13,2.84,1.45,2.58,59.4,48.8,37.0,85.8,1.56,0.97,2.54,1.28,2.26
2019-2020,Newcastle Utd,28,26.5,38.6,418,"3,420",38.0,38,29,38,0,1,66,3,1.00,0.76,1.76,1.00,1.76,33.1,32.3,23.2,55.6,0.87,0.61,1.48,0.85,1.46
2019-2020,Norwich City,30,26.0,49.3,418,"3,420",38.0,25,18,23,2,2,68,3,0.66,0.47,1.13,0.61,1.08,38.0,36.6,26.1,62.7,1.00,0.69,1.69,0.96,1.65
2019-2020,Sheffield Utd,26,26.9,43.1,418,"3,420",38.0,36,25,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58,41.5,40.8,31.5,72.3,1.09,0.83,1.92,1.07,1.90
2019-2020,Southampton,25,25.9,49.3,418,"3,420",38.0,51,32,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13,53.9,49.9,31.3,81.2,1.42,0.82,2.24,1.31,2.14
2019-2020,Tottenham,29,26.7,52.2,418,"3,420",38.0,56,39,53,3,4,84,3,1.47,1.03,2.50,1.39,2.42,46.1,43.0,30.8,73.8,1.21,0.81,2.02,1.13,1.94
2019-2020,Watford,26,28.9,42.5,418,"3,420",38.0,35,21,28,7,8,80,3,0.92,0.55,1.47,0.74,1.29,45.1,39.1,28.2,67.3,1.19,0.74,1.93,1.03,1.77
2019-2020,West Ham,29,27.4,44.0,418,"3,420",38.0,49,36,45,4,4,64,1,1.29,0.95,2.24,1.18,2.13,46.1,43.1,31.8,74.9,1.21,0.84,2.05,1.13,1.97
2019-2020,Wolves,21,26.6,48.3,418,"3,420",38.0,49,34,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08,47.1,44.1,32.3,76.3,1.24,0.85,2.09,1.16,2.01
2020-2021,Arsenal,29,25.9,53.8,418,"3,420",38.0,53,38,47,6,6,49,5,1.39,1.00,2.39,1.24,2.24,53.5,49.0,36.6,85.5,1.41,0.96,2.37,1.29,2.25
2020-2021,Aston Villa,24,25.2,48.1,418,"3,420",38.0,52,38,47,5,6,71,4,1.37,1.00,2.37,1.24,2.24,52.9,48.5,37.1,85.6,1.39,0.98,2.37,1.28,2.25
2020-2021,Brighton,27,25.8,51.3,418,"3,420",38.0,39,24,33,6,9,49,6,1.03,0.63,1.66,0.87,1.50,51.6,44.8,33.0,77.8,1.36,0.87,2.23,1.18,2.05
2020-2021,Burnley,25,28.3,41.7,418,"3,420",38.0,32,20,29,3,3,48,0,0.84,0.53,1.37,0.76,1.29,39.9,37.6,27.1,64.8,1.05,0.71,1.76,0.99,1.70
2020-2021,Chelsea,27,26.0,61.4,418,"3,420",38.0,56,38,48,8,10,51,3,1.47,1.00,2.47,1.26,2.26,64.0,56.4,42.4,98.8,1.68,1.12,2.80,1.48,2.60
2020-2021,Crystal Palace,24,29.1,40.1,418,"3,420",38.0,39,29,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,32.4,29.5,20.9,50.4,0.85,0.55,1.40,0.78,1.33
2020-2021,Everton,29,26.3,46.5,418,"3,420",38.0,45,32,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,47.1,43.4,32.9,76.3,1.24,0.87,2.11,1.14,2.01
2020-2021,Fulham,28,25.2,49.9,418,"3,420",38.0,26,18,23,3,6,67,3,0.68,0.47,1.16,0.61,1.08,41.3,36.8,27.8,64.6,1.09,0.73,1.82,0.97,1.70
2020-2021,Leeds United,23,26.1,57.6,418,"3,420",38.0,60,45,56,4,4,61,1,1.58,1.18,2.76,1.47,2.66,57.5,54.5,42.5,97.0,1.51,1.12,2.63,1.43,2.55
2020-2021,Leicester City,27,26.5,54.6,418,"3,420",38.0,64,45,54,10,12,61,0,1.68,1.18,2.87,1.42,2.61,56.0,46.9,33.1,80.0,1.47,0.87,2.35,1.23,2.11
2020-2021,Liverpool,28,26.8,62.4,418,"3,420",38.0,65,43,59,6,6,40,0,1.71,1.13,2.84,1.55,2.68,72.6,68.1,50.0,118.1,1.91,1.32,3.23,1.79,3.11
2020-2021,Manchester City,24,26.1,63.9,418,"3,420",38.0,82,55,77,5,9,46,2,2.16,1.45,3.61,2.03,3.47,73.3,66.6,51.0,117.5,1.93,1.34,3.27,1.75,3.09
2020-2021,Manchester Utd,29,25.6,55.8,418,"3,420",38.0,70,51,60,10,11,64,1,1.84,1.34,3.18,1.58,2.92,60.2,51.9,40.5,92.4,1.58,1.07,2.65,1.37,2.43
2020-2021,Newcastle Utd,27,27.1,38.2,418,"3,420",38.0,44,26,38,6,7,65,3,1.16,0.68,1.84,1.00,1.68,41.0,35.5,26.1,61.6,1.08,0.69,1.77,0.93,1.62
2020-2021,Sheffield Utd,27,26.7,41.5,418,"3,420",38.0,19,13,16,3,4,73,3,0.50,0.34,0.84,0.42,0.76,31.4,28.4,22.6,51.0,0.83,0.60,1.42,0.75,1.34
2020-2021,Southampton,29,26.6,52.2,418,"3,420",38.0,47,33,42,5,6,52,3,1.24,0.87,2.11,1.11,1.97,42.4,37.9,27.4,65.3,1.11,0.72,1.84,1.00,1.72
2020-2021,Tottenham,24,27.2,51.7,418,"3,420",38.0,66,50,61,5,5,57,2,1.74,1.32,3.05,1.61,2.92,54.5,50.7,35.5,86.2,1.43,0.93,2.37,1.33,2.27
2020-2021,West Brom,30,26.4,37.6,418,"3,420",38.0,33,20,29,4,4,51,4,0.87,0.53,1.39,0.76,1.29,33.8,30.7,21.2,52.0,0.89,0.56,1.45,0.81,1.37
2020-2021,West Ham,24,27.8,42.9,418,"3,420",38.0,60,46,58,2,4,50,3,1.58,1.21,2.79,1.53,2.74,53.9,50.7,36.8,87.5,1.42,0.97,2.39,1.33,2.30
2020-2021,Wolves,27,26.3,49.3,418,"3,420",38.0,34,21,30,4,4,55,1,0.89,0.55,1.45,0.79,1.34,39.9,36.8,26.5,63.3,1.05,0.70,1.75,0.97,1.67
2021-2022,Arsenal,27,24.4,53.2,418,"3,420",38.0,60,41,55,5,8,67,4,1.58,1.08,2.66,1.45,2.53,59.9,54.0,36.8,90.8,1.58,0.97,2.54,1.42,2.39
2021-2022,Aston Villa,31,26.1,46.5,418,"3,420",38.0,50,42,47,3,3,81,2,1.32,1.11,2.42,1.24,2.34,44.0,41.8,33.6,75.4,1.16,0.88,2.04,1.10,1.98
2021-2022,Brentford,29,25.4,44.5,418,"3,420",38.0,46,33,40,6,6,65,3,1.21,0.87,2.08,1.05,1.92,47.8,43.3,33.0,76.2,1.26,0.87,2.13,1.14,2.01
2021-2022,Brighton,26,26.2,54.7,418,"3,420",38.0,40,30,36,4,7,72,2,1.05,0.79,1.84,0.95,1.74,46.0,40.7,29.1,69.8,1.21,0.77,1.98,1.07,1.84
2021-2022,Burnley,23,28.5,39.8,418,"3,420",38.0,32,26,31,1,2,68,2,0.84,0.68,1.53,0.82,1.50,39.0,37.4,27.7,65.1,1.03,0.73,1.75,0.99,1.71
2021-2022,Chelsea,26,27.4,62.3,418,"3,420",38.0,75,52,67,8,9,63,1,1.97,1.37,3.34,1.76,3.13,67.2,60.7,46.9,107.6,1.77,1.23,3.00,1.60,2.83
2021-2022,Crystal Palace,24,27.1,50.9,418,"3,420",38.0,50,31,44,6,8,69,1,1.32,0.82,2.13,1.16,1.97,46.4,40.3,29.5,69.8,1.22,0.78,2.00,1.06,1.84
2021-2022,Everton,33,26.7,39.7,418,"3,420",38.0,42,29,36,6,7,82,6,1.11,0.76,1.87,0.95,1.71,42.8,37.5,27.2,64.8,1.13,0.72,1.84,0.99,1.70
2021-2022,Leeds United,29,26.1,52.5,418,"3,420",38.0,42,26,37,5,5,101,3,1.11,0.68,1.79,0.97,1.66,47.2,43.4,31.1,74.5,1.24,0.82,2.06,1.14,1.96
2021-2022,Leicester City,28,26.5,52.1,418,"3,420",38.0,62,46,60,2,2,55,1,1.63,1.21,2.84,1.58,2.79,50.8,49.3,34.0,83.3,1.34,0.89,2.23,1.30,2.19
2021-2022,Liverpool,27,27.7,63.3,418,"3,420",38.0,94,71,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16,89.2,83.5,60.1,143.5,2.35,1.58,3.93,2.20,3.78
2021-2022,Manchester City,26,27.0,68.5,418,"3,420",38.0,96,63,89,7,9,42,1,2.53,1.66,4.18,2.34,4.00,89.0,82.0,59.9,141.9,2.34,1.58,3.92,2.16,3.73
2021-2022,Manchester Utd,29,27.2,52.9,418,"3,420",38.0,56,46,53,3,5,77,2,1.47,1.21,2.68,1.39,2.61,54.8,51.0,40.6,91.7,1.44,1.07,2.51,1.34,2.41
2021-2022,Newcastle Utd,29,27.5,39.9,418,"3,420",38.0,41,23,38,3,3,81,2,1.08,0.61,1.68,1.00,1.61,40.3,38.0,25.9,63.9,1.06,0.68,1.74,1.00,1.68
2021-2022,Norwich City,28,26.2,42.5,418,"3,420",38.0,21,16,18,3,3,57,1,0.55,0.42,0.97,0.47,0.89,33.3,31.0,22.7,53.8,0.88,0.60,1.47,0.82,1.41
2021-2022,Southampton,25,25.7,47.9,418,"3,420",38.0,41,26,37,4,4,65,2,1.08,0.68,1.76,0.97,1.66,46.8,43.7,32.3,76.1,1.23,0.85,2.08,1.15,2.00
2021-2022,Tottenham,25,26.5,52.0,418,"3,420",38.0,63,50,58,5,5,69,1,1.66,1.32,2.97,1.53,2.84,65.1,61.4,49.3,110.7,1.71,1.30,3.01,1.62,2.91
2021-2022,Watford,30,28.4,40.3,418,"3,420",38.0,33,26,32,1,2,63,3,0.87,0.68,1.55,0.84,1.53,38.8,37.4,28.6,65.9,1.02,0.75,1.77,0.98,1.73
2021-2022,West Ham,25,28.2,47.8,418,"3,420",38.0,58,46,54,4,6,52,3,1.53,1.21,2.74,1.42,2.63,49.9,46.0,35.6,81.7,1.31,0.94,2.25,1.21,2.15
2021-2022,Wolves,26,27.3,49.6,418,"3,420",38.0,35,22,34,1,1,62,2,0.92,0.58,1.50,0.89,1.47,35.9,35.4,24.8,60.2,0.95,0.65,1.60,0.93,1.59
